Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BGA,"Palonegro International",Bucaramanga,,Colombia,10,1620
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MTY,"Mariano Escobedo Intl",Monterrey,,Mexico,4,1598
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",8,1532
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,TPA,"Tampa International",Tampa,FL,"United States",7,1500
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",8,1467
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,PTP,"Le Raizet","Pointe A Pitre",,Guadeloupe,8,1368
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,MSY,"New Orleans Intl","New Orleans",LA,"United States",5,1190
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CIX,"Cornel Ruiz",Chiclayo,,Peru,4,1128
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,BZE,"Belize International","Belize City",,Belize,4,1128
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,VCP,"Viracopos-Campinas Intl","Sao Paulo-Viraco",SP,Brazil,1,1050
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SXM,"Prinses Juliana International","St. Maarten",,"Sint Maarten",8,1031
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,STI,"Cibao Intl",Santiago,,"Dominican Republic",6,1017
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CUR,"Hato International",Curacao,,Curacao,7,1015
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,BOS,"Logan International",Boston,MA,"United States",2,900
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,SNU,"Abel Santamaria","Santa Clara",,Cuba,4,806
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,LIS,Lisboa,Lisbon,,Portugal,1,798
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,YUL,"Pierre E. Trudeau Intl",Montreal-PET,QC,Canada,3,780
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,HOG,"Frank Pais International",Holguin,,Cuba,4,752
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,NAS,"Lynden Pindling Intl",Nassau,,Bahamas,3,676
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,HAV,"Jose Marti Intl",Havana,,Cuba,8,664
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,CUC,"Camilo Daza",Cucuta,,Colombia,2,470
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,PBC,"Hermanos Serdan Intl",Puebla,,Mexico,2,470
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,REC,"Guararapes International",Recife,PE,Brazil,2,372
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,LIR,"D. Oduber Quiros Intl",Liberia,,"Costa Rica",3,282
PTY,"Tocumen Intl, Panama R","Panama City",,Panama,VSA,"C.Rovirosa Perez Intl",Villahermosa,,Mexico,2,282
PAP,"Toussaint Louverture","Port Au Prince",,Haiti,KIN,"Norman Manley Intl",Kingston,,Jamaica,2,60
"No data",,,,,,,,,,,
